Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,350.350006,351.299988,349.059998,349.309998,341.883301,66099200
2020-09-01,350.209991,352.709991,349.239990,352.600006,345.103363,54908700
2020-09-02,354.670013,358.750000,353.429993,357.700012,350.094910,69540000
2020-09-03,355.869995,356.380005,342.589996,345.390015,338.046631,148011100
2020-09-04,346.130005,347.829987,334.869995,342.570007,335.286621,139156300
2020-09-08,336.709991,342.640015,332.880005,333.209991,326.125580,114465300
2020-09-09,337.549988,342.459991,336.609985,339.790009,332.565735,91462300
2020-09-10,341.820007,342.529999,332.850006,333.890015,326.791168,90569500
2020-09-11,335.820007,336.970001,331.000000,334.059998,326.957489,84680200
2020-09-14,337.489990,340.380005,334.220001,338.459991,331.263977,65605700
2020-09-15,341.119995,342.019989,338.470001,340.170013,332.937622,52920900
2020-09-16,341.510010,343.059998,338.519989,338.820007,331.616333,82096000
2020-09-17,333.559998,337.700012,332.989990,335.839996,328.699707,91523300
2020-09-18,335.369995,335.489990,327.970001,330.649994,324.915466,105877900
2020-09-21,325.700012,327.130005,321.730011,326.970001,321.299286,99450800
2020-09-22,328.570007,330.899994,325.859985,330.299988,324.571533,63612100
2020-09-23,330.899994,331.200012,322.100006,322.640015,317.044403,93112200
2020-09-24,321.220001,326.799988,319.799988,323.500000,317.889465,76681300
2020-09-25,322.579987,329.579987,321.640015,328.730011,323.028778,71069400
2020-09-28,333.220001,334.959991,332.149994,334.190002,328.394073,64584600
2020-09-29,333.970001,334.769989,331.619995,332.369995,326.605652,51304000
2020-09-30,333.089996,338.290009,332.880005,334.890015,329.081940,104081100
2020-10-01,337.690002,338.739990,335.010010,337.040009,331.194672,88698700
2020-10-02,331.700012,337.010010,331.190002,333.839996,328.050110,89431100
2020-10-05,336.059998,339.959991,336.010010,339.760010,333.867462,45713100
